weekday,time_bucket,count
Mon,12-2,3275
Tues,12-2,3510
Wed,12-2,3365
Thu,12-2,3610
Fri,12-2,3075
Sat,12-2,375
Sun,12-2,330
Mon,2-4,4595
Tues,2-4,5060
Wed,2-4,4970
Thu,2-4,4984
Fri,2-4,4555
Sat,2-4,2405
Sun,2-4,2310
Mon,4-6,2605
Tues,4-6,1985
Wed,4-6,1970
Thu,4-6,1985
Fri,4-6,2630
Sat,4-6,2325
Sun,4-6,2215
Mon,6-8,5841
Tues,6-8,5703
Wed,6-8,5406
Thu,6-8,5361
Fri,6-8,5468
Sat,6-8,1435
Sun,6-8,1390
Mon,8-10,6248
Tues,8-10,5671
Wed,8-10,6811
Thu,8-10,5812
Fri,8-10,5994
Sat,8-10,160
Sun,8-10,110
Mon,10-12,1053
Tues,10-12,769
Wed,10-12,574
Thu,10-12,702
Fri,10-12,784
Sat,10-12,0
Sun,10-12,0
Mon,12-14,3131
Tues,12-14,3861
Wed,12-14,3862
Thu,12-14,3921
Fri,12-14,3564
Sat,12-14,0
Sun,12-14,0
